"","ï..Protocol","Sheet","Data.Set","Input.Gate","X.Parameter","Y.Parameter","Gate","Number","X.Total","X.Gated","X.Med","X.AMean","X.Mode","X.Stdev","X.CV","HP.X.CV","X.Min","X.Max","X.GMean","Y.Med","Y.AMean","Y.Mode","Y.Stdev","Y.CV","HP.Y.CV","Y.Min","Y.Max","Y.GMean","Logic"
"1","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","All",322325,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ungated"
"2","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","cd4blood",3606,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"3","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","cd4skin",179,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"4","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","lymphocytes",21724,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lymphocytes AND singlets"
"5","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","pb_cd4",1974,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND blood"
"6","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","pb_cd8",3251,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd8 AND viable_cd3 AND lymphocytes AND singlets AND blood"
"7","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","singlets",261161,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"singlets"
"8","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","tcrvb_pos_blood",1644,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND blood"
"9","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","til_cd4",171,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd4 AND viable_cd3 AND lymphocytes AND singlets AND NOT(clone) AND skin"
"10","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","til_cd8",199,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cd8 AND viable_cd3 AND lymphocytes AND singlets AND skin"
"11","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","tumour",9,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clone AND viable_cd3 AND lymphocytes AND singlets AND NOT(cd8) AND skin"
"12","panel1","populations","2016_03_24 CTCL004PJ02_panel1 00015952 065","","","","viable_cd3",7607,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"viable_cd3 AND lymphocytes AND singlets"
